frame_num,a,b,c,d
0,123.60301208496094,139.22828674316406,123.41194915771484,139.17721557617188
1,182.09584045410156,107.9249496459961,182.09078979492188,107.93709564208984
2,166.92831420898438,208.20057678222656,167.34767150878906,208.22486877441406
3,134.9877471923828,139.89962768554688,135.17007446289062,139.79466247558594
4,157.22740173339844,93.66449737548828,157.44873046875,93.52791595458984
5,46.67913818359375,67.2710189819336,46.557579040527344,67.23258972167969
6,128.47998046875,91.7734603881836,128.44296264648438,92.04879760742188
7,18.291748046875,148.09043884277344,18.379634857177734,148.21302795410156
8,113.48079681396484,141.47705078125,113.4014892578125,141.60299682617188
9,47.583988189697266,168.38514709472656,47.42936325073242,168.17247009277344
10,146.2041778564453,106.82372283935547,146.25955200195312,106.77432250976562
11,118.22701263427734,130.50140380859375,118.0313949584961,130.4052734375
12,103.5949935913086,106.86978149414062,103.3309326171875,107.01405334472656
13,230.00120544433594,117.21883392333984,230.26390075683594,117.27549743652344
14,8.705389022827148,58.70090103149414,8.474281311035156,58.41747283935547
15,145.91055297851562,145.08950805664062,145.89859008789062,144.91163635253906
16,21.666465759277344,71.23900604248047,21.532752990722656,71.16282653808594
17,42.32815170288086,135.79940795898438,42.3189697265625,134.7391357421875
18,91.655517578125,118.16065216064453,91.53450012207031,118.10742950439453
19,196.72145080566406,24.911190032958984,196.21263122558594,24.71425437927246
20,197.34536743164062,200.2303466796875,197.77371215820312,200.4432830810547
21,189.2561798095703,81.1527099609375,189.36595153808594,81.19432067871094
22,184.65005493164062,150.8905029296875,184.63043212890625,151.1144256591797
23,114.31228637695312,116.26118469238281,114.66503143310547,116.3053207397461
24,92.14472961425781,64.7520751953125,92.8663101196289,65.0932846069336
25,140.12977600097656,79.21600341796875,140.2828826904297,79.15753936767578
26,186.8496551513672,136.7392120361328,187.0228729248047,136.75238037109375
27,154.590576171875,77.66703033447266,155.08016967773438,77.59954071044922
28,84.97029876708984,158.85536193847656,84.64456176757812,158.91575622558594
29,32.715431213378906,146.81704711914062,32.421913146972656,147.23460388183594
30,16.465167999267578,223.57864379882812,16.15555191040039,223.4624481201172
31,126.49230194091797,104.72779083251953,126.19525146484375,104.8272476196289
32,177.3037872314453,208.63653564453125,178.34518432617188,209.97384643554688
33,88.96096801757812,95.35855102539062,89.07984924316406,95.9686279296875
34,180.4889373779297,90.63256072998047,180.3403778076172,90.86406707763672
35,212.6798858642578,79.52558898925781,212.45492553710938,79.62849426269531
36,71.59426879882812,60.277137756347656,71.40625762939453,60.88828659057617
37,36.85283279418945,70.83606719970703,36.72784423828125,70.9327163696289
38,34.045406341552734,66.0294189453125,34.197357177734375,66.01702880859375
39,142.7120361328125,157.3484344482422,143.10157775878906,156.78590393066406
40,58.126220703125,166.04498291015625,58.212093353271484,165.80140686035156
41,25.749601364135742,50.097015380859375,26.00006866455078,49.73785400390625
42,11.374664306640625,65.64674377441406,11.258281707763672,65.77273559570312
43,143.84384155273438,124.83683013916016,143.88291931152344,124.63970947265625
44,58.677162170410156,99.08110046386719,58.3546028137207,99.60494995117188
45,55.862979888916016,218.403564453125,56.140254974365234,218.37979125976562
46,105.1223373413086,116.99758911132812,105.04048156738281,117.00016784667969
47,70.16783142089844,161.9643096923828,70.26338958740234,161.9467315673828
48,194.1002197265625,95.29888153076172,194.3787384033203,95.25326538085938
49,127.70944213867188,85.90904998779297,127.91669464111328,85.78711700439453
50,223.9199981689453,90.36992645263672,223.9213409423828,89.84771728515625
51,31.66786766052246,163.65670776367188,32.10935974121094,163.79856872558594
52,134.2667694091797,210.88211059570312,133.91537475585938,210.82847595214844
53,142.83538818359375,130.65005493164062,142.66705322265625,130.70567321777344
54,199.72021484375,72.90973663330078,200.13731384277344,72.61043548583984
55,98.28297424316406,104.20223999023438,97.93466186523438,104.282470703125
56,152.36361694335938,209.1876678466797,152.355224609375,209.48561096191406
57,115.25341033935547,83.42295837402344,115.18058776855469,83.28699493408203
58,137.41357421875,93.0785140991211,137.25494384765625,93.0279769897461
59,103.99070739746094,81.82557678222656,103.93562316894531,81.86646270751953
60,130.42457580566406,123.46978759765625,130.6068572998047,123.17357635498047
61,21.11220359802246,52.63874435424805,20.98114585876465,52.552452087402344
62,99.80352783203125,144.3778533935547,99.60186767578125,144.13551330566406
63,167.32708740234375,93.55843353271484,167.5680389404297,93.500732421875
64,125.29154205322266,116.93987274169922,125.61517333984375,116.91768646240234
65,110.89411163330078,102.2140121459961,110.58811950683594,102.07025909423828
66,16.36587142944336,77.37818145751953,16.633220672607422,77.04711151123047
67,62.056583404541016,116.22412872314453,62.341129302978516,116.35485076904297
68,52.43902587890625,90.79324340820312,52.56060028076172,90.6038589477539
69,88.51329040527344,96.04613494873047,88.79965209960938,96.51716613769531
70,39.790672302246094,201.88450622558594,39.960323333740234,201.94149780273438
71,79.76322937011719,69.35846710205078,79.91291046142578,69.14964294433594
